episode,length,total_reward,avg_q,exploration
111,201,-66.20411159815396,10.161532402038574,0.5748666904699972
112,155,-63.99570531946957,10.4607515335083,0.5720066571840768
113,190,-124.27226231850213,11.106348991394043,0.5691608529194795
114,253,-80.12554369944276,10.37260913848877,0.5663292068850543
115,247,-103.73781587735543,10.372862815856934,0.5635116486418451
116,210,-30.747302878207122,12.393173217773438,0.5607081081013385
117,225,-42.70879142248461,11.43995475769043,0.55791851552372
118,155,-60.63764961663481,12.27643871307373,0.5551428015161394
119,147,-20.224434461018646,11.719376564025879,0.5523808970309845
120,204,15.815650637555564,12.5524320602417,0.5496327333641637
121,90,-81.67253031791842,11.43189811706543,0.5468982421533968
122,208,-40.590190273061516,12.01557445526123,0.5441773553765142
123,138,-37.132973215799254,13.143716812133789,0.5414700053497654
124,160,-47.017105508650445,12.498908042907715,0.5387761247261348
125,126,-116.90522430040777,12.789098739624023,0.5360956464936665
126,128,-177.893499807252,12.269171714782715,0.5334285039737976
127,218,-70.36732683798876,11.61890697479248,0.5307746308196991
128,425,-95.21871104768485,13.514410972595215,0.5281339610146261
129,127,-57.04700004135617,13.121377944946289,0.5255064288702748
130,174,-71.84357014900792,12.375018119812012,0.5228919690251491
131,222,2.096025555380379,13.005675315856934,0.5202905164429344
132,94,-48.70983217975571,14.731249809265137,0.5177020064108802
133,135,-84.65057362742934,14.428779602050781,0.5151263745381892
134,203,-169.91566839988988,15.022302627563477,0.5125635567544172
135,166,-22.324168887102985,14.020782470703125,0.5100134893078779
136,95,-43.1637220082452,14.827278137207031,0.5074761087640577
137,241,-24.787342882485817,14.576077461242676,0.5049513520040375
138,144,-77.47231406597155,13.469558715820312,0.5024391562229229
139,85,-63.996554935100775,14.804614067077637,0.49993945892828157
140,120,-48.06975038654578,14.479700088500977,0.4974521979385887
141,823,-55.38488340456844,15.480185508728027,0.49497731138168033
142,132,-17.77150923890487,15.872845649719238,0.4925147376932143
143,146,-133.4700447962158,15.560917854309082,0.49006441561513864
144,2431,-206.40143816886012,18.957712173461914,0.48762628419416787
145,116,-72.34236234499572,18.428714752197266,0.4852002827802666
146,257,-8.469478266861188,19.495201110839844,0.48278635102514095
147,165,-153.3968608829029,18.899734497070312,0.4803844288807373
148,179,9.62159574272934,20.158817291259766,0.4779944565977486
149,137,-69.56395862279268,19.16012954711914,0.475616374724128
150,83,-5.8539259313323555,20.37727928161621,0.47325012410361
151,335,21.287444575627475,19.52718734741211,0.4708956458742389
152,177,10.597147839340806,19.972761154174805,0.4685528814669044
153,104,-52.0777362506624,19.80056381225586,0.46622177260388503
154,189,-13.379636346926418,19.13844108581543,0.4639022612973981
155,145,-8.894210729386458,19.58234977722168,0.46159428984815737
156,98,-15.708920303879623,19.16461753845215,0.45929780084393773
157,97,-58.091919442042986,19.80426788330078,0.45701273715814705
158,164,-31.058835387771452,20.161252975463867,0.4547390419484051
159,116,17.972650572114333,21.12498664855957,0.4524766586551295
160,3186,-190.8511896554499,24.03021812438965,0.4502255310001289
161,474,-43.95592972551087,23.045921325683594,0.44798560298520296
162,164,-165.9361732030128,23.765695571899414,0.44575681889074925
163,281,43.85729198041443,25.10687828063965,0.4435391232743774
164,73,-15.13865383892714,26.311370849609375,0.44133246096952977
165,259,-58.421667920766744,26.054105758666992,0.43913677708410925
166,128,-3.9826890750959194,23.909603118896484,0.43695201699911373
167,295,45.07526238255454,25.06886863708496,0.4347781263672774
168,202,-48.016403694187204,23.57036018371582,0.4326150511117189
169,1001,-267.5167003959232,24.539106369018555,0.43046273742459595
