episode,length,total_reward,avg_q,exploration
58,40,-22.0,7.002213478088379,0.7488044525116946
59,21,-1.0,7.761207580566406,0.7450790572255668
60,83,-59.0,4.941450119018555,0.7413721962443451
61,19,-5.0,4.863125801086426,0.7376837773575574
62,40,12.0,6.564870834350586,0.73401370881349
63,23,1.0,7.527705669403076,0.7303618993169055
64,49,-11.0,8.858821868896484,0.7267282580267718
65,28,10.0,9.41748046875,0.7231126945540018
66,57,-11.0,8.32625675201416,0.719515118959206
67,46,-2.0,8.927234649658203,0.7159354417504538
68,24,-6.0,8.157812118530273,0.7123735738810486
69,58,36.0,8.22984790802002,0.7088294267473121
70,33,-13.0,9.807494163513184,0.7053029121863803
71,67,-11.0,9.52717399597168,0.7017939424740103
72,12,-8.0,9.337032318115234,0.6983024303223984
73,86,-68.0,11.227736473083496,0.6948282888780084
74,22,-6.0,12.050755500793457,0.6913714317194114
75,15,-9.0,12.176667213439941,0.6879317728551358
76,30,-12.0,11.808467864990234,0.6845092267215283
77,68,-6.0,10.955531120300293,0.6811037081806252
78,23,-3.0,11.366512298583984,0.6777151325180351
79,58,-24.0,10.697935104370117,0.674343415440831
80,39,5.0,11.025985717773438,0.6709884730754538
81,16,-12.0,11.735368728637695,0.6676502219656257
82,42,-28.0,12.865166664123535,0.6643285790702744
83,68,32.0,12.006598472595215,0.6610234617614672
84,66,-32.0,10.673792839050293,0.6577347878223555
85,15,-5.0,10.902134895324707,0.6544624754451299
86,160,-98.0,13.124744415283203,0.651206443228985
87,46,4.0,11.643455505371094,0.6479666101780946
88,36,4.0,11.117905616760254,0.6447428956995968
89,51,5.0,14.555537223815918,0.6415352196015889
90,121,-45.0,12.404858589172363,0.6383435020911333
91,23,-3.0,12.564021110534668,0.6351676637722721
92,25,-15.0,13.360522270202637,0.6320076256440519
93,214,-56.0,14.339730262756348,0.6288633090985591
94,170,-40.0,14.418112754821777,0.6257346359189644
95,167,-9.0,18.320476531982422,0.6226215282775766
96,45,13.0,18.73451805114746,0.6195239087339071
97,38,-6.0,17.683012008666992,0.6164417002327434
98,50,-6.0,18.15863037109375,0.6133748261022323
99,67,9.0,20.754180908203125,0.6103232100519724
100,140,34.0,22.72160530090332,0.6072867761711169
101,195,87.0,24.99672508239746,0.6042654489264846
102,27,5.0,25.95640754699707,0.6012591531606812
103,208,-30.0,34.57691955566406,0.5982678140902301
104,153,-109.0,36.63642120361328,0.5952913573037116
105,117,5.0,39.309776306152344,0.5923297087599121
106,18,-12.0,37.775699615478516,0.5893827947859822
107,111,15.0,41.001708984375,0.5864505420756042
108,66,-2.0,41.95084762573242,0.5835328776871684
109,139,-23.0,44.72660446166992,0.5806297290419588
110,28,4.0,46.43235778808594,0.577741023922347
111,49,19.0,52.04351806640625,0.5748666904699972
112,289,-99.0,56.02408218383789,0.5720066571840768
113,162,-32.0,66.3147964477539,0.5691608529194795
114,74,22.0,67.48155212402344,0.5663292068850543
115,149,-43.0,62.9977912902832,0.5635116486418451
116,17,-15.0,62.98617935180664,0.5607081081013385
117,27,-1.0,63.54106903076172,0.55791851552372
118,38,-12.0,66.41506958007812,0.5551428015161394
119,135,59.0,78.79308319091797,0.5523808970309845
120,211,-75.0,74.87970733642578,0.5496327333641637
121,260,-146.0,78.0257797241211,0.5468982421533968
122,177,65.0,85.22330474853516,0.5441773553765142
123,283,-115.0,85.22347259521484,0.5414700053497654
124,12,-8.0,84.73249816894531,0.5387761247261348
125,337,-45.0,105.0821762084961,0.5360956464936665
126,212,-92.0,104.91593170166016,0.5334285039737976
127,197,-89.0,95.23394775390625,0.5307746308196991
128,48,14.0,105.48601531982422,0.5281339610146261
129,155,7.0,110.15629577636719,0.5255064288702748
130,341,-207.0,114.58631896972656,0.5228919690251491
131,159,11.0,108.73457336425781,0.5202905164429344
132,228,-92.0,120.79938507080078,0.5177020064108802
133,20,2.0,118.385498046875,0.5151263745381892
134,22,2.0,116.40132904052734,0.5125635567544172
135,196,18.0,115.1877212524414,0.5100134893078779
136,127,59.0,116.9406509399414,0.5074761087640577
137,26,-24.0,120.24031829833984,0.5049513520040375
138,239,77.0,110.34404754638672,0.5024391562229229
139,283,27.0,117.9468765258789,0.49993945892828157
140,204,-100.0,122.88324737548828,0.4974521979385887
141,80,28.0,102.58846282958984,0.49497731138168033
142,108,36.0,117.01040649414062,0.4925147376932143
143,61,37.0,120.03562927246094,0.49006441561513864
144,72,-36.0,120.16683197021484,0.48762628419416787
145,249,-55.0,116.34033203125,0.4852002827802666
146,163,63.0,116.931640625,0.48278635102514095
147,220,-100.0,112.5717544555664,0.4803844288807373
148,105,-65.0,111.2779312133789,0.4779944565977486
149,187,95.0,112.8676528930664,0.475616374724128
150,299,-175.0,119.70083618164062,0.47325012410361
151,246,-82.0,123.42035675048828,0.4708956458742389
152,69,-13.0,120.18663024902344,0.4685528814669044
153,231,25.0,118.48770141601562,0.46622177260388503
154,61,21.0,119.38541412353516,0.4639022612973981
155,226,62.0,119.21609497070312,0.46159428984815737
156,16,-8.0,119.40596771240234,0.45929780084393773
157,176,82.0,121.5585708618164,0.45701273715814705
158,204,50.0,117.24893951416016,0.4547390419484051
159,93,49.0,116.39641571044922,0.4524766586551295
160,124,84.0,121.01722717285156,0.4502255310001289
161,445,-159.0,119.87813568115234,0.44798560298520296
162,81,47.0,117.64051818847656,0.44575681889074925
163,67,29.0,116.34010314941406,0.4435391232743774
164,501,-171.0,127.13164520263672,0.44133246096952977
165,201,17.0,129.0461883544922,0.43913677708410925
166,335,179.0,122.38031768798828,0.43695201699911373
167,401,57.0,119.60549926757812,0.4347781263672774
168,382,-128.0,115.59207153320312,0.4326150511117189
169,150,64.0,114.81471252441406,0.43046273742459595
170,56,32.0,114.88823699951172,0.42832113176576714
171,501,-51.0,130.6839141845703,0.4261901808614599
172,289,-215.0,127.25138092041016,0.4240698317029452
173,370,-200.0,125.29291534423828,0.42196003154521916
174,47,25.0,119.68462371826172,0.41986072790569073
175,160,76.0,119.68394470214844,0.4177718685628764
176,501,-205.0,107.24700164794922,0.4156934015551009
177,501,-233.0,115.08426666259766,0.41362527517920494
178,39,1.0,112.1460952758789,0.4115674379892587
179,279,-117.0,116.5648193359375,0.40951983879528236
180,314,-8.0,126.95249938964844,0.40748242666197254
181,225,5.0,117.63175201416016,0.4054551509074354
182,42,16.0,119.81410217285156,0.4034379611019258
183,105,-33.0,119.0560302734375,0.4014308070665929
184,174,84.0,109.40498352050781,0.39943363887223177
185,343,-173.0,120.1979751586914,0.3974464068380416
186,315,49.0,121.64339447021484,0.3954690615303897
187,344,-78.0,126.01699829101562,0.3935015537615818
188,65,45.0,122.06028747558594,0.3915438345886387
