episode,length,total_reward,avg_q,exploration
0,36912,-36912.0,-30.896570205688477,1.0
1,15608,-15608.0,-40.70461654663086,0.9950248756218907
2,18556,-18556.0,-50.923561096191406,0.990074503106359
3,28664,-28664.0,-62.6739387512207,0.98514875930981
4,67516,-67516.0,-79.74295806884766,0.9802475217013037
5,6797,-6797.0,-80.9480972290039,0.9753706683595063
6,13547,-13547.0,-82.73222351074219,0.970518077969658
7,5973,-5973.0,-83.42174530029297,0.9656896298205554
8,49980,-49980.0,-88.33238983154297,0.9608852038015477
9,24558,-24558.0,-89.5129165649414,0.9561046803995501
10,4165,-4165.0,-89.67036437988281,0.9513479406960699
11,15563,-15563.0,-90.36568450927734,0.9466148663642487
12,5767,-5767.0,-90.03312683105469,0.9419053396659193
13,6707,-6707.0,-90.76839447021484,0.937219243448676
14,4415,-4415.0,-90.81556701660156,0.9325564611429613
15,1087,-1087.0,-90.67636108398438,0.9279168767591656
16,4007,-4007.0,-91.1997299194336,0.9233003748847419
17,882,-882.0,-91.30460357666016,0.9187068406813353
18,1313,-1313.0,-91.17682647705078,0.9141361598819259
19,2880,-2880.0,-91.2989730834961,0.909588218787986
20,4287,-4287.0,-91.14371490478516,0.9050629042666528
21,5109,-5109.0,-90.9369888305664,0.9005601037479133
22,6360,-6360.0,-91.07899475097656,0.8960797052218044
23,3321,-3321.0,-91.07674407958984,0.8916215972356263
24,4594,-4594.0,-91.38142395019531,0.8871856688911706
25,3303,-3303.0,-91.63235473632812,0.8827718098419609
26,2603,-2603.0,-91.47996520996094,0.8783799102905084
27,1709,-1709.0,-91.46781921386719,0.8740098609855806
28,2498,-2498.0,-91.68108367919922,0.8696615532194834
29,2933,-2933.0,-91.74734497070312,0.8653348788253566
30,999,-999.0,-92.21295166015625,0.8610297301744844
31,1772,-1772.0,-91.77423095703125,0.8567460001736164
32,2712,-2712.0,-91.9442367553711,0.8524835822623049
33,1608,-1608.0,-92.08827209472656,0.8482423704102537
34,665,-665.0,-92.0789794921875,0.8440222591146804
35,2245,-2245.0,-92.27397155761719,0.839823143397692
36,2364,-2364.0,-92.38481140136719,0.8356449188036738
37,1341,-1341.0,-92.29705047607422,0.8314874813966904
38,1536,-1536.0,-92.57464599609375,0.827350727757901
39,2249,-2249.0,-92.2802963256836,0.8232345549829861
40,1289,-1289.0,-92.21002197265625,0.8191388606795883
41,1197,-1197.0,-92.43550109863281,0.8150635429647646
42,780,-780.0,-92.21013641357422,0.8110085004624524
43,853,-853.0,-91.89369201660156,0.8069736323009478
44,466,-466.0,-91.96147155761719,0.8029588381103959
45,679,-679.0,-92.0361099243164,0.7989640180202945
46,646,-646.0,-91.46736145019531,0.7949890726570096
47,540,-540.0,-91.9040756225586,0.7910339031413032
48,566,-566.0,-91.90104675292969,0.7870984110858739
49,619,-619.0,-92.02062225341797,0.7831824985929094
50,706,-706.0,-92.37039947509766,0.7792860682516513
51,764,-764.0,-93.08189392089844,0.7754090231359715
52,1440,-1440.0,-92.8918228149414,0.7715512668019617
53,458,-458.0,-91.67649841308594,0.7677127032855341
54,466,-466.0,-92.1351318359375,0.763893237100034
55,439,-439.0,-90.99114227294922,0.7600927732338647
56,340,-340.0,-92.10120391845703,0.7563112171481242
57,527,-527.0,-92.1392593383789,0.752548474774253
58,615,-615.0,-92.39795684814453,0.7488044525116946
59,431,-431.0,-92.29740142822266,0.7450790572255668
60,440,-440.0,-92.20161437988281,0.7413721962443451
61,624,-624.0,-92.69915771484375,0.7376837773575574
62,446,-446.0,-92.02207946777344,0.73401370881349
63,298,-298.0,-91.87033081054688,0.7303618993169055
64,566,-566.0,-91.8931884765625,0.7267282580267718
65,785,-785.0,-91.00276184082031,0.7231126945540018
66,415,-415.0,-91.70462799072266,0.719515118959206
67,761,-761.0,-92.25537109375,0.7159354417504538
68,548,-548.0,-92.19985961914062,0.7123735738810486
69,421,-421.0,-92.17799377441406,0.7088294267473121
70,345,-345.0,-91.85509490966797,0.7053029121863803
71,599,-599.0,-92.26124572753906,0.7017939424740103
72,448,-448.0,-92.6524429321289,0.6983024303223984
73,553,-553.0,-92.13154602050781,0.6948282888780084
